dataFileHandleId,feat1
17317889,1
17301510,1
17285131,0
17301516,1
17285134,0
17285138,1
17285140,0
17301526,0
17293336,1
17285145,0
17301528,0
17301532,0
17293342,1
17285153,0
17301537,0
17293348,1
17285160,0
17301546,1
17285164,0
17301552,1
17309750,1
17309752,1
17326136,0
17285176,1
17285178,0
17309756,1
17326140,1
17309758,0
17285182,1
17317947,1
17317949,0
17309762,0
17326146,1
17326148,0
17317953,1
17285190,1
17317955,0
17317961,1
17309770,0
17285196,1
17317965,0
17285200,1
17326160,0
17309779,0
17309782,1
17309786,1
17326170,1
17317978,0
17317980,1
17309794,1
17317986,1
17293414,1
17301607,1
17301608,0
17317990,0
17293420,1
17301613,0
17301615,0
17326192,0
17293426,0
17326194,1
17301619,0
17293432,1
17301625,0
17301633,1
17285254,1
17301639,0
17285256,0
17285260,1
17285262,0
17293456,1
17301648,0
17285267,0
17301651,1
17293462,0
17301655,0
17309848,1
17309850,0
17293468,1
17309853,0
17285276,0
17301661,1
17309856,0
17285282,1
17309860,1
17301669,1
17285286,0
17309867,0
17301675,1
17285300,0
17285302,1
17309879,1
17309881,0
17285306,0
17309884,0
17285315,0
17309893,1
17285321,1
17285325,1
17293534,0
17326302,0
17293536,1
17326305,1
17301729,0
17301731,0
17293540,1
17283639,1
17301735,1
17326312,0
17326313,0
17293546,1
17301737,1
17301741,1
17293552,0
17301747,1
17326324,0
17293560,0
17301755,0
17309948,0
17293566,0
17309950,1
17326334,1
17309954,1
17301762,1
17309956,0
17293576,0
17309961,1
17293578,1
17301772,0
17293582,1
17301774,0
17309969,1
17285394,1
17301778,0
17293588,1
17326357,1
17285396,0
17285400,1
17326361,1
17285402,0
17301784,0
17293596,0
17309980,1
17309982,1
17285406,1
17301792,0
17326369,0
17293602,1
17309987,1
17326373,0
17285414,1
17301798,0
17309995,1
17285420,1
17285424,1
17285436,1
17285438,1
17285442,1
17285456,1
17293656,1
17293658,0
17301851,1
17301852,1
17293662,0
17293664,1
17301857,0
17310050,0
17301859,0
17293668,1
17310052,0
17310056,0
17301865,1
17293675,0
17310059,0
17310063,1
17301875,1
17310070,1
17293689,1
17301882,0
17310083,0
17310085,1
17326469,1
17301894,1
17301896,0
17293705,0
17310090,0
17293707,1
17301902,0
17326481,1
17310098,1
17285522,0
17285525,0
17301912,0
17326489,0
17285529,0
17285531,1
17326493,1
17301918,1
17285536,1
17293731,1
17326503,1
17285546,1
17285552,1
17285557,0
17326518,0
17285571,0
17285572,0
17310150,0
17310152,1
17285577,0
17310156,1
17310158,0
17326545,0
17310162,0
17326547,1
17293783,0
17293785,0
17310170,1
17285594,0
17293789,0
17293791,1
17301984,0
17301986,0
17310180,0
17293797,0
17310181,0
17301990,0
17301992,1
17310186,0
17293803,1
17301998,1
17293807,0
17317885,1
17310194,0
17293813,0
17302008,0
17302014,0
17293825,1
17293826,0
17293833,1
17302026,0
17302028,1
17293839,1
17302034,1
17293843,1
17293850,0
17285660,1
17302044,1
17285662,1
17302050,0
17285666,1
17285668,1
17310246,1
17310248,0
17285672,0
17310252,1
17310254,0
17285680,0
17310258,1
17285686,0
17310266,1
17285690,1
17310276,1
17310278,1
17285702,0
17285704,0
17310282,0
17285707,0
17310290,0
17326678,1
17326680,1
17302105,1
17285722,0
17302107,1
17326686,1
17293919,1
17302111,1
17293921,0
17326689,1
17302113,0
17293925,1
17293927,0
17302120,0
17326700,1
17293933,0
17302130,1
17293939,0
17326710,1
17293943,1
17302136,1
17293949,1
17302148,0
17310343,1
17302151,1
17293961,0
17310345,1
17293963,1
17310350,0
17302159,0
17310352,0
17326737,0
17310356,1
17326740,0
17285781,0
17293975,0
17285783,1
17302169,1
17293979,0
17310364,0
17285787,1
17285789,0
17302175,0
17293985,0
17285793,1
17310373,1
17310376,0
17285801,0
17310380,1
17285807,0
17285811,0
17310388,0
17285823,0
17285825,1
17285829,1
17285843,1
17302229,0
17294038,0
17302231,0
17294041,0
17302235,0
17294045,0
17302237,0
17294047,0
17302243,1
17294053,0
17310440,0
17294060,0
17302253,1
17310446,0
17294064,0
17302259,1
17294069,1
17310455,1
17310459,0
17302271,1
17302273,1
17294082,0
17294084,1
17310471,0
17302279,1
17294090,1
17310479,1
17294096,0
17326864,1
17285904,0
17285906,0
17294100,1
17285909,0
17310483,1
17302295,1
17285912,1
17294105,1
17326873,0
17285916,1
17285924,0
17285930,1
17326893,1
17285935,1
17285947,1
17285949,0
17326913,1
17285953,0
17310537,1
17302350,1
17310543,1
17294160,1
17294161,0
17285969,1
17302352,0
17326932,1
17302356,1
17294166,1
17302358,1
17294168,1
17310555,0
17302365,0
17294174,0
17294180,1
17310567,0
17294184,0
17302375,1
17302381,0
17294190,0
17310579,0
17302393,0
17294202,0
17294203,0
17302395,0
17302401,0
17294210,1
17294216,1
17302410,0
17286028,0
17294220,1
17286030,0
17286034,0
17294226,1
17286036,0
17302418,1
17286042,0
17286048,1
17286052,1
17286058,1
17310636,0
17310638,1
17310642,1
17310644,1
17286069,0
17286072,0
17310650,0
17327037,0
17286078,0
17310654,0
17286084,0
17327045,1
17286088,0
17294281,0
17310666,0
17294283,1
17310668,1
17302474,0
17286094,1
17294287,1
17302477,0
17294289,1
17310674,1
17302481,0
17302483,1
17294295,0
17327063,1
17310679,0
17302489,0
17294301,1
17294305,0
17302499,1
17327079,0
17294312,0
17302505,0
17308218,1
17294325,1
17294326,1
17327095,1
17302518,1
17302520,0
17294334,0
17302526,0
17308220,1
17294340,0
17302536,1
17294345,0
17302542,0
17294351,0
17310734,1
17286161,0
17310736,0
17286163,1
17310740,0
17310742,1
17286167,0
17286169,0
17310748,0
17286175,1
17310752,1
17284267,0
17286181,0
17286185,0
17310764,0
17310766,1
17286191,0
17310772,0
17310776,0
17286204,0
17286206,0
17286212,1
17302597,0
17302599,1
17294408,0
17286218,1
17294410,1
17302603,1
17302605,1
17286222,1
17294414,1
17294416,1
17327184,0
17302611,0
17286228,1
17294422,0
17302617,1
17327195,1
17294428,1
17302621,0
17294432,0
17302627,0
17294437,1
17310830,0
17327215,1
17310832,1
17302638,0
17294450,0
17302641,0
17294452,0
17310836,1
17310838,1
17302647,0
17294458,0
17310844,0
17302653,1
17294463,0
17310848,0
17302657,1
17294468,1
17327239,1
17302663,0
17294474,1
17286284,1
17310860,1
17310862,0
17286286,1
17286289,0
17321275,1
17286292,0
17310868,1
17310872,0
17286299,0
17327263,1
17286304,1
17319073,0
17319076,1
17286309,1
17286315,0
17319083,1
17319087,1
17286328,0
17319096,1
17286330,0
17286336,0
17294528,1
17294530,1
17319107,1
17286342,0
17294534,0
17294536,0
17286346,1
17294542,0
17302735,0
17286352,1
17302737,0
17294548,1
17302743,0
17294552,0
17302745,1
17319129,1
17319130,1
17310941,1
17294558,1
17302751,1
17310944,0
17319139,1
17310948,1
17302756,1
17310950,1
17319144,1
17302761,0
17294570,1
17294571,0
17310955,1
17302767,0
17310961,1
17294578,0
17294584,1
17327352,1
17302779,1
17310973,1
17302781,0
17310975,0
17294594,1
17327363,0
17302787,0
17310981,1
17327365,0
17302792,0
17310985,0
17286410,1
17286412,1
17302797,1
17286416,0
17286418,1
17302803,0
17327382,1
17286424,1
17286430,0
17286434,1
17286440,0
17327410,0
17286452,0
17286454,1
17286460,0
17311039,1
17311041,1
17286466,1
17311045,0
17311046,1
17286470,0
17294662,1
17294664,1
17327429,1
17302856,1
17286476,1
17294668,1
17294670,0
17311053,0
17302859,0
17311057,1
17302863,1
17302865,1
17294676,1
17302871,0
17294682,0
17319260,0
17294686,0
17311071,0
17302879,1
17319265,1
17302882,0
17311075,0
17294692,1
17319271,0
17302889,0
17311083,1
17319275,0
17311087,0
17294706,0
17294707,1
17302901,1
17302903,0
17294714,1
17302909,0
17294720,1
17286530,0
17302915,1
17286532,1
17294724,1
17302919,1
17286536,0
17286538,1
17294730,1
17302925,0
17286544,0
17286550,0
17286554,0
17286560,0
17311143,1
17311145,0
17286573,1
17286574,1
17311149,1
17311151,0
17327537,0
17286581,1
17311157,0
17327544,0
17311161,1
17286587,1
17286591,1
17294785,0
17294787,0
17302979,0
17286597,0
17311173,0
17294791,0
17311175,0
17294793,1
17302981,1
17302986,1
17302988,1
17311181,0
17294799,1
17327568,0
17311185,0
17302994,1
17294805,1
17319381,0
17303000,1
17294809,1
17303004,1
17294815,1
17303010,1
17319395,1
17294827,1
17294828,1
17327596,0
17303024,0
17303026,1
17294835,0
17303032,0
17294841,0
17286652,0
17294845,0
17286654,1
17303038,0
17286657,0
17294850,1
17303042,1
17286660,0
17319430,0
17303047,0
17311242,1
17286667,0
17311244,1
17327629,0
17319434,0
17311247,0
17286673,1
17311251,0
17286677,0
17319449,0
17311258,0
17286683,1
17311262,1
17319460,1
17286695,1
17286697,0
17311274,1
17311276,0
17286703,1
17311282,1
17286709,0
17311286,0
17286713,0
17294907,0
17294909,0
17286719,1
17303104,1
17294913,1
17303106,0
17294915,1
17303110,0
17303112,0
17294921,0
17294926,1
17303118,1
17294931,0
17303123,0
17294937,0
17303129,1
17303135,0
17327715,0
17294949,0
17294951,0
17327723,0
17294957,1
17311341,1
17311343,0
17303149,0
17303151,1
17294963,1
17311347,0
17286773,0
17303157,1
17286775,0
17294967,1
17327738,0
17286779,0
17303163,1
17286781,1
17294973,1
17303167,0
17311360,0
17286787,0
17303173,0
17286793,0
17311372,0
17286797,1
17327761,1
17286803,0
17311380,0
17311384,0
17286817,1
17286819,1
17319591,0
17327784,1
17286825,0
17319594,0
17286831,0
17286834,1
17295027,1
17319603,0
17295029,1
17319607,1
17286841,1
17295033,1
17295035,1
17303230,0
17303232,1
17295041,0
17303236,0
17319621,0
17303238,0
17295047,0
17295051,0
17303244,0
17311439,1
17295057,1
17303250,1
17311446,1
17303254,0
17319638,0
17303260,1
17295069,1
17295071,0
17311460,1
17295077,1
17303272,0
17303274,1
17295083,1
17295088,0
17303280,0
17295094,1
17303286,1
17311480,0
17319673,1
17286906,1
17303291,0
17286909,0
17319679,1
17303297,1
17286914,0
17286916,0
17311496,0
17286921,0
17319691,0
17286928,1
17327889,0
17286932,0
17327893,0
17319704,0
17286938,1
17327899,1
17327905,1
17286950,1
17286952,1
17327916,1
17295149,0
17286958,0
17295151,0
17295156,0
17295158,1
17286968,1
17327931,1
17295164,1
17303357,1
17286974,1
17303359,0
17311553,1
17295171,0
17303363,1
17303365,1
17295175,1
17311559,1
17303371,0
17295181,0
17327952,0
17303377,0
17327956,0
17303381,1
17311575,0
17295193,1
17303386,0
17295195,0
17327964,1
17327971,0
17311588,1
17303399,0
17303401,1
17303407,0
17311601,1
17287028,1
17303413,0
17287030,0
17287034,1
17303418,0
17287036,0
17303425,1
17287042,0
17319815,1
17287048,1
17319819,0
17287052,1
17287058,1
17319827,0
17319831,1
17287070,0
17287072,0
